feature_id,blank_1,blank_2,blank_3,blank_4,group1_1,group1_2,group1_3,group1_4,group2_1,group2_2,group2_3,group2_4,group3_1,group3_2,group3_3,group3_4,group4_1,group4_2,group4_3,group4_4
feature_1,280,694,502,604,824,940,794,828,1044,1048,756,778,648,836,912,882,700,666,1080,790
feature_2,1036,1566,1326,1490,1928,1956,1730,1568,1460,1536,1548,1782,1582,1966,1906,1670,1528,1592,1758,1436
feature_3,1308,992,1060,1010,786,668,762,974,1226,676,0,798,942,818,1068,748,978,882,828,656
feature_4,11340,12260,10962,11864,12026,11604,11122,11260,12492,10036,11382,11312,9790,11578,10384,12764,7570,12236,10902,10728
feature_5,984,1162,1292,1104,1282,924,1172,1062,1362,932,1114,840,1330,932,1090,1280,762,1106,1148,1388
feature_6,3078,2660,2786,3096,3620,3200,3154,3146,3080,2614,2806,2908,3026,2960,2824,2720,2184,3272,2940,3106
feature_7,1506,1510,1546,1420,1606,1824,1404,1356,1404,1520,1536,1420,1698,1590,1358,1478,916,1754,1790,1374
feature_8,1306,2088,0,1750,1292,1818,1378,0,1424,0,1618,1580,1646,1540,1336,1270,0,1274,1804,2014
feature_9,1042,1274,1138,1016,1348,984,1114,1042,990,882,1150,870,1092,1402,806,1102,690,1184,1064,1018
feature_10,2670,2414,2646,2656,3188,2872,2516,2946,2940,2776,2652,2718,2674,3150,2816,3056,2194,3060,2762,2562
feature_11,946,1068,1190,1058,784,1006,1102,936,864,868,970,876,1002,916,902,938,844,1028,810,918
feature_12,832,1102,1104,1114,856,818,1084,1232,1084,1040,826,1004,758,1052,910,764,750,820,826,916
feature_13,1762,1686,1678,1390,1548,1318,1396,1470,1632,1334,1420,1572,1372,1778,1444,1524,1356,1646,0,1346
feature_14,49226,49616,48370,48520,52048,50196,50208,49876,49022,52166,48394,47784,50406,50706,49568,51180,53074,50896,51506,48988
feature_15,1362,1370,1352,1338,1300,1276,0,1256,1308,1334,1446,1344,1360,1364,1340,1258,1336,1266,1310,1324
feature_16,45252,53018,51030,51198,53924,53586,54248,53166,51100,53334,52348,52058,52184,53880,50712,53020,54488,52948,45000,52528
feature_17,1202,1584,1502,404,1514,1422,1456,1690,1100,1504,1532,1482,1852,1668,1552,1540,1592,1582,1498,1514
feature_18,1362,1390,1180,1306,1498,1280,1288,1306,1636,1430,1212,1256,1396,1336,1188,1200,1296,1164,1258,1362
feature_19,19654,20184,19686,17254,21082,22076,23502,21712,21998,20372,21558,22202,22182,24490,21774,20238,23458,25138,23700,22946
feature_20,4658,5662,5160,6218,6066,7056,6294,6866,8098,7236,7240,8328,8966,9212,7026,8612,7490,8908,7020,8536
feature_21,1386,1930,1988,2012,0,3168,2902,2982,2738,3744,3612,4182,4532,3938,3864,3356,4070,4184,4904,4836
feature_22,32358,32818,34294,36468,31528,30228,33348,33640,35874,35296,35660,35834,36516,31682,38152,38474,38688,36902,37192,36318
feature_23,1042,1246,1082,1058,1196,1328,1166,1376,1330,1218,1412,1308,1492,1182,1354,1336,1466,1342,1482,1538
feature_24,10556,11060,10646,11642,13144,12690,13098,13778,12400,16646,13148,14696,16476,15424,14518,15032,15522,15368,15758,15546
feature_25,78,910,288,0,846,1066,1008,970,0,1150,1160,1196,1320,1112,1100,1012,1066,1338,1178,1462
feature_26,898,974,1160,1200,1390,1126,1074,1240,1018,1044,1238,1326,1196,1114,1072,1104,1030,1196,1088,1314
feature_27,1082,1380,1016,1192,1234,930,1032,1046,1174,1056,1054,1076,1156,1142,1030,926,512,1146,1000,1058
feature_28,24978,24126,23680,24410,24360,22758,25204,22980,22916,22706,25142,23764,22918,24108,23058,23118,22540,22388,22926,23308
feature_29,878,1182,1080,1272,1844,1772,1490,1702,1750,2212,2178,2094,2284,2282,2014,1962,2146,2296,2396,2166
feature_30,5210,5830,5476,6064,5252,6720,5878,6244,6348,6060,6038,7186,7268,6006,6832,7054,6946,4764,7682,8602
feature_31,1088,876,1026,1186,1194,1052,1148,1328,1262,1302,1518,1588,2358,1160,1404,1570,1572,1728,1806,2204
feature_32,2078,1906,1714,1814,1804,1898,1658,1644,1804,1642,1740,1622,1996,1494,1788,1670,1554,1620,1866,1572
feature_33,0,682,742,760,1076,1256,1194,1102,1026,1414,1298,1334,1840,1474,1684,1312,1482,1672,1796,1744
feature_34,880,990,1478,1080,1458,1640,1534,1170,1388,1396,1604,1382,1462,1562,1456,1362,1438,1538,1684,1448
feature_35,554,916,590,700,848,938,932,1000,970,890,934,950,1046,1188,918,870,858,880,1050,1104
feature_36,412,488,248,522,162,516,558,692,676,852,698,894,1070,910,882,952,914,1014,1092,1118
feature_37,554,678,576,778,880,808,770,668,714,1074,950,970,948,928,1090,966,880,1038,928,1128
feature_38,926,850,0,854,992,1100,966,1090,1046,1058,1334,962,1112,1230,1174,1036,1068,1106,1138,1058
feature_39,1066,880,1102,1036,1024,942,1178,1108,1138,1080,1092,1138,966,942,1002,1072,1056,1090,1124,1022
feature_40,4210,4118,4260,4272,4442,4772,4482,4382,4498,3830,4542,3680,4250,4230,3518,3220,4242,4154,4388,4614
feature_41,892,1226,1256,1176,1266,1282,1076,1296,1192,1052,1162,1022,1142,1178,1184,1390,1048,1324,1066,1076
