sample_id,phenotype
genotype1_rep1,control
genotype1_rep2,control
genotype1_rep3,control
genotype1_rep4,control
genotype1_rep5,control
genotype1_rep6,control
genotype1_rep7,control
genotype1_rep8,control
genotype1_rep9,control
genotype1_rep10,control
genotype2_rep1,control
genotype2_rep2,control
genotype2_rep3,control
genotype2_rep4,control
genotype2_rep5,control
genotype2_rep6,control
genotype2_rep7,control
genotype2_rep8,control
genotype2_rep9,control
genotype2_rep10,control
genotype3_rep1,control
genotype3_rep2,control
genotype3_rep3,control
genotype3_rep4,control
genotype4_rep1,control
genotype4_rep2,control
genotype4_rep3,control
genotype4_rep4,control
genotype4_rep5,control
genotype4_rep6,control
genotype4_rep7,control
genotype4_rep8,control
genotype4_rep9,control
genotype4_rep10,control
genotype4_rep11,control
genotype5_rep1,control
genotype5_rep2,control
genotype5_rep3,control
genotype5_rep4,control
genotype5_rep5,control
genotype5_rep6,control
genotype5_rep7,control
genotype5_rep8,control
genotype5_rep9,control
genotype5_rep10,control
genotype6_rep1,control
genotype6_rep2,control
genotype6_rep3,control
genotype6_rep4,control
genotype6_rep5,control
genotype6_rep6,control
genotype6_rep7,control
genotype6_rep8,control
genotype6_rep9,control
genotype6_rep10,control
genotype6_rep11,control
genotype6_rep12,control
genotype6_rep13,control
genotype7_rep1,control
genotype7_rep2,control
genotype7_rep3,control
genotype7_rep4,control
genotype7_rep5,control
genotype7_rep6,control
genotype7_rep7,control
genotype7_rep8,control
genotype7_rep9,control
genotype7_rep10,control
genotype7_rep11,control
genotype7_rep12,control
genotype7_rep13,control
genotype7_rep14,control
genotype7_rep15,control
genotype7_rep16,control
genotype8_rep1,control
genotype8_rep2,control
genotype8_rep3,control
genotype8_rep4,control
genotype8_rep5,control
genotype8_rep6,control
genotype8_rep7,control
genotype9_rep1,control
genotype9_rep2,control
genotype9_rep3,control
genotype9_rep4,control
genotype9_rep5,control
genotype9_rep6,control
genotype9_rep7,control
genotype9_rep8,control
genotype9_rep9,control
genotype9_rep10,control
genotype10_rep1,control
genotype10_rep2,control
genotype10_rep3,control
genotype10_rep4,control
genotype10_rep5,control
genotype11_rep1,control
genotype11_rep2,control
genotype11_rep3,control
genotype11_rep4,control
genotype11_rep5,control
genotype11_rep6,control
genotype11_rep7,control
genotype11_rep8,control
genotype12_rep1,control
genotype12_rep2,control
genotype12_rep3,control
genotype12_rep4,control
genotype12_rep5,control
genotype12_rep6,control
genotype12_rep7,control
genotype12_rep8,control
genotype12_rep9,control
genotype12_rep10,control
genotype12_rep11,control
genotype13_rep1,control
genotype13_rep2,control
genotype13_rep3,control
genotype13_rep4,control
genotype13_rep5,control
genotype13_rep6,control
genotype13_rep7,control
genotype13_rep8,control
genotype13_rep9,control
genotype14_rep1,control
genotype14_rep2,control
genotype14_rep3,control
genotype14_rep4,control
genotype14_rep5,control
genotype14_rep6,control
genotype14_rep7,control
genotype14_rep8,control
genotype15_rep1,control
genotype15_rep2,control
genotype15_rep3,control
genotype15_rep4,control
genotype15_rep5,control
genotype15_rep6,control
genotype15_rep7,control
genotype15_rep8,control
genotype15_rep9,control
genotype15_rep10,control
genotype15_rep11,control
genotype15_rep12,control
genotype15_rep13,control
genotype15_rep14,control
genotype15_rep15,control
genotype15_rep16,control
genotype15_rep17,control
genotype15_rep18,control
genotype15_rep19,control
genotype15_rep20,control
genotype15_rep21,control
genotype15_rep22,control
genotype15_rep23,control
genotype15_rep24,control
genotype15_rep25,control
genotype15_rep26,control
genotype15_rep27,control
genotype16_rep1,control
genotype16_rep2,control
genotype16_rep3,control
genotype16_rep4,control
genotype16_rep5,control
genotype16_rep6,control
genotype16_rep7,control
genotype16_rep8,control
genotype16_rep9,control
genotype16_rep10,control
genotype16_rep11,control
genotype16_rep12,control
genotype16_rep13,control
genotype16_rep14,control
genotype17_rep1,control
genotype17_rep2,control
genotype17_rep3,control
genotype17_rep4,control
genotype17_rep5,control
genotype17_rep6,control
genotype21_rep1,control
genotype21_rep2,control
genotype21_rep3,control
genotype21_rep4,control
genotype22_rep1,control
genotype22_rep2,control
genotype22_rep3,control
genotype22_rep4,control
genotype22_rep5,control
genotype24_rep1,control
genotype24_rep2,control
genotype24_rep3,control
genotype24_rep4,control
genotype24_rep5,control
genotype24_rep6,control
genotype24_rep7,control
genotype24_rep8,control
genotype24_rep9,control
genotype24_rep10,control
genotype25_rep1,control
genotype25_rep2,control
genotype25_rep3,control
genotype25_rep4,control
genotype25_rep5,control
genotype25_rep6,control
genotype25_rep7,control
genotype25_rep8,control
genotype25_rep9,control
genotype25_rep10,control
genotype26_rep1,control
genotype26_rep2,control
genotype26_rep3,control
genotype26_rep4,control
genotype26_rep5,control
genotype26_rep6,control
genotype26_rep7,control
genotype26_rep8,control
genotype26_rep9,control
genotype28_rep1,control
genotype28_rep2,control
genotype28_rep3,control
genotype28_rep4,control
genotype29_rep1,control
genotype29_rep2,control
genotype29_rep3,control
genotype29_rep4,control
genotype30_rep1,control
genotype30_rep2,control
genotype30_rep3,control
genotype30_rep4,control
genotype30_rep5,control
genotype30_rep6,control
genotype30_rep7,control
genotype30_rep8,control
genotype30_rep9,control
genotype30_rep10,control
genotype30_rep11,control
genotype30_rep12,control
genotype31_rep1,control
genotype31_rep2,control
genotype31_rep3,control
genotype31_rep4,control
genotype31_rep5,control
genotype31_rep6,control
genotype31_rep7,control
genotype31_rep8,control
genotype31_rep9,control
genotype31_rep10,control
genotype31_rep11,control
genotype31_rep12,control
genotype32_rep1,control
genotype32_rep2,control
genotype32_rep3,control
genotype32_rep4,control
genotype32_rep5,control
