sample_id,location,stage,year,day,number
st_1,strabekervloedgraaf,eggs,1,1,1
st_1,strabekervloedgraaf,eggs,1,2,5
st_1,strabekervloedgraaf,eggs,1,3,18
st_1,strabekervloedgraaf,eggs,1,4,42
st_1,strabekervloedgraaf,eggs,1,5,80
st_1,strabekervloedgraaf,eggs,1,6,129
st_1,strabekervloedgraaf,eggs,1,7,185
st_1,strabekervloedgraaf,eggs,1,8,245
st_1,strabekervloedgraaf,eggs,1,9,303
st_1,strabekervloedgraaf,eggs,1,10,361
st_1,strabekervloedgraaf,eggs,1,11,418
st_1,strabekervloedgraaf,eggs,1,12,474
st_1,strabekervloedgraaf,eggs,1,13,530
st_1,strabekervloedgraaf,eggs,1,14,584
st_1,strabekervloedgraaf,eggs,1,15,637
st_1,strabekervloedgraaf,eggs,1,16,690
st_1,strabekervloedgraaf,eggs,1,17,742
st_1,strabekervloedgraaf,eggs,1,18,793
st_1,strabekervloedgraaf,eggs,1,19,843
st_1,strabekervloedgraaf,eggs,1,20,892
st_1,strabekervloedgraaf,eggs,1,21,941
st_1,strabekervloedgraaf,eggs,1,22,988
st_1,strabekervloedgraaf,eggs,1,23,1035
st_1,strabekervloedgraaf,eggs,1,24,1082
st_1,strabekervloedgraaf,eggs,1,25,1127
st_1,strabekervloedgraaf,eggs,1,26,1172
st_1,strabekervloedgraaf,eggs,1,27,1216
st_1,strabekervloedgraaf,eggs,1,28,1260
st_1,strabekervloedgraaf,eggs,1,29,1302
st_1,strabekervloedgraaf,eggs,1,30,1344
st_1,strabekervloedgraaf,eggs,1,31,1386
st_1,strabekervloedgraaf,eggs,1,32,1426
st_1,strabekervloedgraaf,eggs,1,33,1466
st_1,strabekervloedgraaf,eggs,1,34,1506
st_1,strabekervloedgraaf,eggs,1,35,1542
st_1,strabekervloedgraaf,eggs,1,36,1572
st_1,strabekervloedgraaf,eggs,1,37,1596
st_1,strabekervloedgraaf,eggs,1,38,1610
st_1,strabekervloedgraaf,eggs,1,39,1618
st_1,strabekervloedgraaf,eggs,1,40,1620
st_1,strabekervloedgraaf,eggs,1,41,1621
st_1,strabekervloedgraaf,eggs,1,42,1621
st_1,strabekervloedgraaf,eggs,1,43,1621
st_1,strabekervloedgraaf,eggs,1,44,1621
st_1,strabekervloedgraaf,eggs,1,45,1621
st_1,strabekervloedgraaf,eggs,1,46,1621
st_1,strabekervloedgraaf,eggs,1,47,1621
st_1,strabekervloedgraaf,eggs,1,48,1621
st_1,strabekervloedgraaf,eggs,1,49,1621
st_1,strabekervloedgraaf,eggs,1,50,1621
st_1,strabekervloedgraaf,eggs,1,51,1621
st_1,strabekervloedgraaf,eggs,1,52,1621
st_1,strabekervloedgraaf,eggs,1,53,1621
st_1,strabekervloedgraaf,eggs,1,54,1621
st_1,strabekervloedgraaf,eggs,1,55,1621
st_1,strabekervloedgraaf,eggs,1,56,1621
st_1,strabekervloedgraaf,eggs,1,57,1621
st_1,strabekervloedgraaf,eggs,1,58,1621
st_1,strabekervloedgraaf,eggs,1,59,1621
st_1,strabekervloedgraaf,eggs,1,60,1621
st_1,strabekervloedgraaf,eggs,1,61,1621
st_1,strabekervloedgraaf,eggs,1,62,1621
st_1,strabekervloedgraaf,eggs,1,63,1621
st_1,strabekervloedgraaf,eggs,1,64,1621
st_1,strabekervloedgraaf,eggs,1,65,1621
st_1,strabekervloedgraaf,eggs,1,66,1621
st_1,strabekervloedgraaf,eggs,1,67,1621
st_1,strabekervloedgraaf,eggs,1,68,1621
st_1,strabekervloedgraaf,eggs,1,69,1621
st_1,strabekervloedgraaf,eggs,1,70,1621
st_1,strabekervloedgraaf,eggs,1,71,1621
st_1,strabekervloedgraaf,eggs,1,72,1621
