feature_id,bunderbosbeek_1,bunderbosbeek_2,bunderbosbeek_3,bunderbosbeek_4,bunderbosbeek_5,bunderbosbeek_6,bunderbosbeek_7,bunderbosbeek_8,bunderbosbeek_9,bunderbosbeek_10,bunderbosbeek_11,bunderbosbeek_12,bunderbosbeek_13,bunderbosbeek_14,bunderbosbeek_15,oude beek goede tak_1,oude beek goede tak_2,oude beek goede tak_3,oude beek goede tak_4,oude beek goede tak_5,oude beek goede tak_6,oude beek goede tak_7,oude beek goede tak_8,oude beek goede tak_9,oude beek goede tak_10,oude beek goede tak_11,oude beek goede tak_12,oude beek goede tak_13,oude beek goede tak_14,seelbeek_1,seelbeek_2,seelbeek_3,seelbeek_4,seelbeek_5,seelbeek_6,seelbeek_7,seelbeek_8,seelbeek_9,seelbeek_10,seelbeek_11,seelbeek_12,seelbeek_13,seelbeek_14,seelbeek_15,seelbeek_16,strabekervloedgraaf_1,strabekervloedgraaf_2,strabekervloedgraaf_3,strabekervloedgraaf_4,strabekervloedgraaf_5,strabekervloedgraaf_6,strabekervloedgraaf_7,strabekervloedgraaf_8,strabekervloedgraaf_9,strabekervloedgraaf_10,strabekervloedgraaf_11,strabekervloedgraaf_12,strabekervloedgraaf_13,strabekervloedgraaf_14,strabekervloedgraaf_15
ca,102.0,101.0,101.0,112.0,83.2,97.8,87.2,93.9,104.0,110.0,98.9,102.0,102.0,97.4,103.0,18.8,19.0,19.2,17.2,17.3,17.5,18.4,21.1,19.8,17.8,19.5,17.7,19.4,19.7,32.5,34.0,33.5,30.8,30.9,33.1,32.5,30.7,30.5,38.7,35.6,30.2,33.9,35.1,35.5,30.0,79.3,81.1,83.2,86.3,71.0,73.6,76.8,74.0,74.7,90.0,75.4,76.2,71.1,80.3,84.8
cl,51.1,50.9,50.3,53.2,54.4,53.0,53.2,47.8,50.1,51.1,46.0,53.3,52.1,42.5,50.4,15.0,15.0,14.1,15.6,15.1,14.8,15.6,15.0,14.9,12.7,15.3,13.6,15.0,15.0,26.2,25.6,26.6,24.6,27.1,26.4,26.7,26.4,27.4,26.1,26.1,23.5,25.2,26.9,26.0,16.4,23.1,26.6,26.5,24.1,28.1,27.0,26.4,28.0,24.6,26.3,25.9,26.8,18.3,26.5,29.2
egv,583.0,745.0,896.0,680.0,835.0,878.0,764.0,674.0,650.0,662.0,632.0,522.0,653.0,651.0,702.0,198.0,194.0,202.0,209.0,193.0,200.0,190.0,188.0,202.0,168.0,184.0,178.0,203.0,195.0,403.0,326.0,322.0,438.0,306.0,344.0,377.0,392.0,353.0,317.0,342.0,226.0,319.0,350.0,344.0,313.0,438.0,566.0,568.0,572.0,582.0,689.0,575.0,654.0,437.0,602.0,506.0,472.0,446.0,529.0,735.0
hard,3.08,3.04,3.06,3.34,2.19,2.95,2.67,2.82,3.12,3.3,2.95,3.1,3.1,2.89,3.07,0.59,0.59,0.6,0.55,0.55,0.55,0.58,0.65,0.62,0.56,0.62,0.55,0.61,0.62,1.02,1.06,1.05,0.96,0.97,1.03,1.02,0.96,0.96,1.19,1.11,0.94,1.06,1.09,1.11,0.9,2.43,2.52,2.6,2.66,2.31,2.31,2.43,2.34,2.37,2.77,2.33,2.42,2.14,2.52,2.66
hco,100.0,104.0,98.0,129.0,65.0,106.0,83.0,94.0,102.0,121.0,100.0,87.0,96.0,102.0,98.0,29.0,28.0,28.0,23.0,26.0,26.0,27.0,34.0,27.0,26.0,27.0,24.0,28.0,27.0,29.0,31.0,32.0,31.0,29.0,31.0,31.0,31.0,31.0,38.0,35.0,26.0,29.0,29.0,30.0,27.0,128.0,122.0,130.0,148.0,89.0,131.0,110.0,122.0,114.0,152.0,97.0,99.0,104.0,115.0,122.0
k,1.64,1.52,1.48,1.48,1.12,1.22,1.16,1.11,1.61,1.76,1.99,1.67,1.53,1.36,1.45,2.59,2.55,2.58,2.6,2.66,2.44,3.31,2.82,2.69,2.36,2.92,2.24,2.61,2.56,1.57,1.57,1.38,1.54,1.61,1.53,1.58,1.43,1.44,1.67,1.6,1.59,1.53,1.5,1.83,1.08,1.74,1.54,1.25,1.72,1.51,1.48,1.94,1.37,2.33,1.82,1.74,1.58,0.88,1.29,1.18
mg,13.0,12.6,13.1,13.3,2.86,12.3,11.9,11.6,12.8,13.4,11.7,13.8,13.4,11.2,12.5,2.88,2.94,2.98,2.84,2.76,2.77,2.98,3.02,3.04,2.69,3.14,2.67,3.03,3.1,5.02,5.2,5.18,4.77,4.9,4.99,5.02,4.81,4.86,5.48,5.31,4.62,5.18,5.28,5.49,3.6,11.0,12.0,12.8,12.3,13.2,11.5,12.4,12.1,12.4,12.7,10.9,12.7,8.82,12.5,13.2
na,13.3,13.3,13.6,13.9,10.1,12.7,12.3,11.7,13.2,14.4,12.9,15.0,14.5,12.1,13.7,9.7,19.7,9.7,9.4,19.2,9.2,9.5,9.6,9.7,8.1,10.1,8.5,9.7,10.0,17.3,18.3,17.3,17.7,17.3,16.7,17.2,16.6,17.3,17.9,17.7,15.8,17.3,17.6,17.7,11.3,11.9,13.0,13.0,12.7,13.1,11.5,12.2,11.7,12.9,12.9,11.5,13.0,9.0,12.7,13.3
nh4,0.034,0.044,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.031,0.0,0.0,0.03,0.0,0.061,0.0,0.0,0.04,0.058,0.036,0.067,0.071,0.04,0.038,0.04,0.111,0.053,0.0,0.042,0.03,0.064,0.0,0.0,0.103,0.063,0.046,0.0,0.0,0.0,0.031,0.073,0.033,0.0,0.0,0.035
no2,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.004,0.005,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.019,0.011,0.016,0.024,0.034,0.0,0.036,0.041,0.024,0.024,0.052,0.014,0.0,0.012,0.013,0.011,0.004,0.015,0.014,0.041,0.029,0.04,0.02,0.007,0.045,0.036,0.021,0.015,0.005,0.0,0.0016
