feature_id,bunderbosbeek_1,bunderbosbeek_2,bunderbosbeek_3,bunderbosbeek_4,bunderbosbeek_5,bunderbosbeek_6,bunderbosbeek_7,bunderbosbeek_8,bunderbosbeek_9,bunderbosbeek_10,bunderbosbeek_11,bunderbosbeek_12,bunderbosbeek_13,bunderbosbeek_14,bunderbosbeek_15,oudebeek_1,oudebeek_2,oudebeek_3,oudebeek_4,oudebeek_5,oudebeek_6,oudebeek_7,oudebeek_8,oudebeek_9,oudebeek_10,oudebeek_11,oudebeek_12,oudebeek_13,oudebeek_14,seelbeek_1,seelbeek_2,seelbeek_3,seelbeek_4,seelbeek_5,seelbeek_6,seelbeek_7,seelbeek_8,seelbeek_9,seelbeek_10,seelbeek_11,seelbeek_12,seelbeek_13,seelbeek_14,seelbeek_15,seelbeek_16,strabekervloedgraaf_1,strabekervloedgraaf_2,strabekervloedgraaf_3,strabekervloedgraaf_4,strabekervloedgraaf_5,strabekervloedgraaf_6,strabekervloedgraaf_7,strabekervloedgraaf_8,strabekervloedgraaf_9,strabekervloedgraaf_10,strabekervloedgraaf_11,strabekervloedgraaf_12,strabekervloedgraaf_13,strabekervloedgraaf_14,strabekervloedgraaf_15
ca,102.0,101.0,101.0,112.0,83.2,97.8,87.2,93.9,104.0,110.0,98.9,102.0,102.0,97.4,103.0,18.8,19.0,19.2,17.2,17.3,17.5,18.4,21.1,19.8,17.8,19.5,17.7,19.4,19.7,32.5,34.0,33.5,30.8,30.9,33.1,32.5,30.7,30.5,38.7,35.6,30.2,33.9,35.1,35.5,30.0,79.3,81.1,83.2,86.3,71.0,73.6,76.8,74.0,74.7,90.0,75.4,76.2,71.1,80.3,84.8
cl,51.1,50.9,50.3,53.2,54.4,53.0,53.2,47.8,50.1,51.1,46.0,53.3,52.1,42.5,50.4,15.0,15.0,14.1,15.6,15.1,14.8,15.6,15.0,14.9,12.7,15.3,13.6,15.0,15.0,26.2,25.6,26.6,24.6,27.1,26.4,26.7,26.4,27.4,26.1,26.1,23.5,25.2,26.9,26.0,16.4,23.1,26.6,26.5,24.1,28.1,27.0,26.4,28.0,24.6,26.3,25.9,26.8,18.3,26.5,29.2
correlated1,61.0,47.0,19.0,27.0,61.0,13.0,35.0,80.0,36.0,56.0,24.0,8.0,2.0,29.0,14.0,57.0,43.0,50.0,27.0,31.0,3.0,18.0,35.0,88.0,51.0,45.0,33.0,82.0,34.0,60.0,14.0,79.0,43.0,18.0,30.0,53.0,57.0,48.0,75.0,39.0,63.0,88.0,43.0,64.0,50.0,55.0,63.0,46.0,1.0,14.0,77.0,23.0,22.0,71.0,57.0,5.0,97.0,10.0,98.0,32.0
correlated10,64.0,33.0,12.0,9.0,43.0,89.0,23.0,41.0,65.0,98.0,93.0,59.0,11.0,75.0,37.0,65.0,92.0,16.0,91.0,68.0,29.0,67.0,28.0,63.0,58.0,93.0,27.0,95.0,76.0,65.0,33.0,2.0,92.0,67.0,76.0,92.0,4.0,36.0,76.0,25.0,52.0,61.0,93.0,91.0,89.0,12.0,98.0,98.0,83.0,67.0,10.0,11.0,97.0,15.0,77.0,32.0,56.0,82.0,83.0,71.0
correlated100,94.0,35.0,95.0,37.0,49.0,59.0,35.0,80.0,57.0,98.0,99.0,73.0,1.0,10.0,52.0,92.0,73.0,63.0,80.0,67.0,98.0,71.0,79.0,39.0,82.0,55.0,78.0,28.0,39.0,11.0,99.0,54.0,9.0,26.0,6.0,3.0,51.0,46.0,74.0,9.0,16.0,83.0,74.0,12.0,21.0,37.0,61.0,26.0,82.0,27.0,53.0,75.0,81.0,21.0,72.0,76.0,52.0,11.0,0.0,31.0
correlated101,20.0,31.0,18.0,44.0,44.0,30.0,48.0,43.0,13.0,26.0,5.0,33.0,0.0,0.0,3.0,6.0,19.0,57.0,25.0,54.0,14.0,55.0,18.0,14.0,14.0,32.0,28.0,42.0,32.0,12.0,18.0,59.0,21.0,4.0,24.0,11.0,28.0,29.0,15.0,34.0,13.0,18.0,21.0,23.0,28.0,40.0,19.0,25.0,59.0,46.0,29.0,45.0,56.0,12.0,39.0,53.0,3.0,29.0,31.0,39.0
correlated102,76.0,42.0,21.0,44.0,44.0,41.0,70.0,29.0,52.0,79.0,54.0,64.0,1.0,16.0,29.0,63.0,28.0,71.0,10.0,31.0,74.0,14.0,47.0,59.0,49.0,11.0,0.0,74.0,1.0,16.0,66.0,70.0,28.0,51.0,29.0,20.0,18.0,13.0,16.0,10.0,28.0,51.0,49.0,55.0,20.0,64.0,76.0,16.0,67.0,71.0,23.0,14.0,64.0,34.0,44.0,66.0,62.0,35.0,22.0,69.0
correlated103,67.0,78.0,23.0,76.0,56.0,1.0,62.0,93.0,90.0,96.0,2.0,87.0,64.0,6.0,61.0,39.0,67.0,82.0,21.0,98.0,37.0,69.0,45.0,60.0,100.0,10.0,86.0,98.0,32.0,37.0,43.0,35.0,97.0,99.0,69.0,91.0,92.0,46.0,85.0,3.0,30.0,69.0,63.0,39.0,77.0,82.0,37.0,89.0,42.0,58.0,49.0,78.0,41.0,95.0,65.0,16.0,56.0,84.0,24.0,67.0
correlated104,46.0,92.0,57.0,95.0,37.0,48.0,54.0,84.0,39.0,94.0,90.0,62.0,52.0,67.0,66.0,86.0,53.0,51.0,80.0,50.0,21.0,54.0,47.0,34.0,77.0,60.0,56.0,90.0,33.0,94.0,86.0,49.0,80.0,78.0,74.0,71.0,37.0,53.0,71.0,39.0,94.0,96.0,81.0,68.0,26.0,67.0,34.0,52.0,40.0,48.0,48.0,93.0,47.0,75.0,69.0,37.0,24.0,100.0,73.0,71.0
correlated105,69.0,54.0,33.0,29.0,77.0,93.0,75.0,81.0,89.0,96.0,98.0,28.0,81.0,35.0,91.0,84.0,59.0,49.0,45.0,28.0,37.0,25.0,19.0,36.0,98.0,66.0,99.0,22.0,32.0,84.0,25.0,68.0,68.0,58.0,39.0,37.0,75.0,97.0,27.0,37.0,97.0,37.0,84.0,86.0,59.0,98.0,98.0,61.0,61.0,30.0,60.0,97.0,44.0,49.0,47.0,94.0,50.0,53.0,25.0,43.0
