sample_id,phenotype
bunderbosbeek_1,limburg
bunderbosbeek_2,limburg
bunderbosbeek_3,limburg
bunderbosbeek_4,limburg
bunderbosbeek_5,limburg
bunderbosbeek_6,limburg
bunderbosbeek_7,limburg
bunderbosbeek_8,limburg
bunderbosbeek_9,limburg
bunderbosbeek_10,limburg
bunderbosbeek_11,limburg
bunderbosbeek_12,limburg
bunderbosbeek_13,limburg
bunderbosbeek_14,limburg
bunderbosbeek_15,limburg
oudebeek_1,veluwe
oudebeek_2,veluwe
oudebeek_3,veluwe
oudebeek_4,veluwe
oudebeek_5,veluwe
oudebeek_6,veluwe
oudebeek_7,veluwe
oudebeek_8,veluwe
oudebeek_9,veluwe
oudebeek_10,veluwe
oudebeek_11,veluwe
oudebeek_12,veluwe
oudebeek_13,veluwe
oudebeek_14,veluwe
seelbeek_1,veluwe
seelbeek_2,veluwe
seelbeek_3,veluwe
seelbeek_4,veluwe
seelbeek_5,veluwe
seelbeek_6,veluwe
seelbeek_7,veluwe
seelbeek_8,veluwe
seelbeek_9,veluwe
seelbeek_10,veluwe
seelbeek_11,veluwe
seelbeek_12,veluwe
seelbeek_13,veluwe
seelbeek_14,veluwe
seelbeek_15,veluwe
seelbeek_16,veluwe
strabekervloedgraaf_1,limburg
strabekervloedgraaf_2,limburg
strabekervloedgraaf_3,limburg
strabekervloedgraaf_4,limburg
strabekervloedgraaf_5,limburg
strabekervloedgraaf_6,limburg
strabekervloedgraaf_7,limburg
strabekervloedgraaf_8,limburg
strabekervloedgraaf_9,limburg
strabekervloedgraaf_10,limburg
strabekervloedgraaf_11,limburg
strabekervloedgraaf_12,limburg
strabekervloedgraaf_13,limburg
strabekervloedgraaf_14,limburg
strabekervloedgraaf_15,limburg
