feature_id,bunderbosbeek_1,bunderbosbeek_2,bunderbosbeek_3,bunderbosbeek_4,oudebeek_1,oudebeek_2,oudebeek_3,oudebeek_4,seelbeek_1,seelbeek_2,seelbeek_3,seelbeek_4,straberkervloedgraaf_1,straberkervloedgraaf_2,straberkervloedgraaf_3,straberkervloedgraaf_4
ph,7.19,7.29,7.05,7.13,6.98,7.27,7.07,7.04,7.5,6.96,6.82,6.69,7.49,7.47,7.12,7.19
egv,896,835,650,522,194,193,188,184,322,377,317,319,568,582,437,472
ca,101,83.2,104,102,19,17.3,21.1,19.5,33.5,32.5,38.7,33.9,83.2,71,74.7,76.2
cl,50.3,54.4,50.1,53.3,15,15.1,15,15.3,26.6,26.7,26.1,25.2,26.5,28.1,24.6,26.8
hard,3.06,2.19,3.12,3.1,0.59,0.55,0.65,0.62,1.05,1.02,1.19,1.06,2.6,2.31,2.37,2.42
hco,98,65,102,87,28,26,34,27,32,31,38,29,130,89,114,99
k,1.48,1.12,1.61,1.67,2.55,2.66,2.82,2.92,1.38,1.58,1.67,1.53,1.25,1.51,2.33,1.58
mg,13.1,2.86,12.8,13.8,2.94,2.76,3.02,3.14,5.18,5.02,5.48,5.18,12.8,13.2,12.4,12.7
n_tot,0,0,0,0,0,0.27,0,0,0,0.33,0,0,0,0.5,0.25,0
na,13.6,10.1,13.2,15,19.7,19.2,9.6,10.1,17.3,17.2,17.9,17.3,13,13.1,12.9,13
nh4,0,0,0,0,0,0,0,0,0,0.067,0.038,0.053,0,0.063,0,0.033
no2,0,0.003,0.004,0,0,0,0,0,0.016,0.036,0.024,0,0.014,0.029,0.045,0.015
no3,17,19.8,17.8,19.3,5.9,6.1,6.4,6.52,11.1,11.6,12.4,11.7,17.6,18.2,16.9,19.8
po4_ort,0.024,0.012,0.022,0.026,0,0,0.009,0.017,0.008,0.006,0.018,0.006,0.006,0.006,0.012,0.006
po4_tot,0.025,0.061,0.027,0.000,1.84,0.022,0.028,0.000,0.000,0.000,0.027,0.000,0.000,0.048,0.085,0.000
so3,110,121,124,123,15.8,14.9,15.1,15.6,40.3,40.7,42,40.1,75.7,79,72.4,76.4
fe,0,0,0.006,0,0,0,0.008,0,0,0,0,0,0,0.013,0.007,0
co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
