feature_id,bunderbosbeek_1,bunderbosbeek_2,bunderbosbeek_3,bunderbosbeek_4,bunderbosbeek_5,bunderbosbeek_6,bunderbosbeek_7,bunderbosbeek_8,bunderbosbeek_9,bunderbosbeek_10,bunderbosbeek_11,bunderbosbeek_12,bunderbosbeek_13,bunderbosbeek_14,bunderbosbeek_15,oude beek goede tak_1,oude beek goede tak_2,oude beek goede tak_3,oude beek goede tak_4,oude beek goede tak_5,oude beek goede tak_6,oude beek goede tak_7,oude beek goede tak_8,oude beek goede tak_9,oude beek goede tak_10,oude beek goede tak_11,oude beek goede tak_12,oude beek goede tak_13,oude beek goede tak_14,seelbeek_1,seelbeek_2,seelbeek_3,seelbeek_4,seelbeek_5,seelbeek_6,seelbeek_7,seelbeek_8,seelbeek_9,seelbeek_10,seelbeek_11,seelbeek_12,seelbeek_13,seelbeek_14,seelbeek_15,seelbeek_16,strabekervloedgraaf_1,strabekervloedgraaf_2,strabekervloedgraaf_3,strabekervloedgraaf_4,strabekervloedgraaf_5,strabekervloedgraaf_6,strabekervloedgraaf_7,strabekervloedgraaf_8,strabekervloedgraaf_9,strabekervloedgraaf_10,strabekervloedgraaf_11,strabekervloedgraaf_12,strabekervloedgraaf_13,strabekervloedgraaf_14,strabekervloedgraaf_15
ph,7.13,7.14,7.19,7.21,7.29,7.4,7.44,7,7.05,7.09,7.06,7.13,7.02,7.21,7.03,6.81,6.98,6.92,7.28,7.27,7.18,7.09,7.07,6.99,7.08,7.04,6.95,6.92,6.92,6.73,6.89,7.5,6.86,6.95,6.96,6.96,6.98,6.81,6.82,6.79,7.05,6.69,6.68,6.9,7.38,7.2,7.37,7.49,7.38,7.47,7.41,7.46,6.96,7.12,7.12,7.16,7.19,7.25,7.22,7.3
egv,583,745,896,680,835,878,764,674,650,662,632,522,653,651,702,198,194,202,209,193,200,190,188,202,168,184,178,203,195,403,326,322,438,306,344,377,392,353,317,342,226,319,350,344,313,438,566,568,572,582,689,575,654,437,602,506,472,446,529,735
ca,102,101,101,112,83.2,97.8,87.2,93.9,104,110,98.9,102,102,97.4,103,18.8,19,19.2,17.2,17.3,17.5,18.4,21.1,19.8,17.8,19.5,17.7,19.4,19.7,32.5,34,33.5,30.8,30.9,33.1,32.5,30.7,30.5,38.7,35.6,30.2,33.9,35.1,35.5,30,79.3,81.1,83.2,86.3,71,73.6,76.8,74,74.7,90,75.4,76.2,71.1,80.3,84.8
cl,51.1,50.9,50.3,53.2,54.4,53,53.2,47.8,50.1,51.1,46,53.3,52.1,42.5,50.4,15,15,14.1,15.6,15.1,14.8,15.6,15,14.9,12.7,15.3,13.6,15,15,26.2,25.6,26.6,24.6,27.1,26.4,26.7,26.4,27.4,26.1,26.1,23.5,25.2,26.9,26,16.4,23.1,26.6,26.5,24.1,28.1,27,26.4,28,24.6,26.3,25.9,26.8,18.3,26.5,29.2
hard,3.08,3.04,3.06,3.34,2.19,2.95,2.67,2.82,3.12,3.3,2.95,3.1,3.1,2.89,3.07,0.59,0.59,0.6,0.55,0.55,0.55,0.58,0.65,0.62,0.56,0.62,0.55,0.61,0.62,1.02,1.06,1.05,0.96,0.97,1.03,1.02,0.96,0.96,1.19,1.11,0.94,1.06,1.09,1.11,0.9,2.43,2.52,2.6,2.66,2.31,2.31,2.43,2.34,2.37,2.77,2.33,2.42,2.14,2.52,2.66
hco,100,104,98,129,65,106,83,94,102,121,100,87,96,102,98,29,28,28,23,26,26,27,34,27,26,27,24,28,27,29,31,32,31,29,31,31,31,31,38,35,26,29,29,30,27,128,122,130,148,89,131,110,122,114,152,97,99,104,115,122
k,1.64,1.52,1.48,1.48,1.12,1.22,1.16,1.11,1.61,1.76,1.99,1.67,1.53,1.36,1.45,2.59,2.55,2.58,2.6,2.66,2.44,3.31,2.82,2.69,2.36,2.92,2.24,2.61,2.56,1.57,1.57,1.38,1.54,1.61,1.53,1.58,1.43,1.44,1.67,1.6,1.59,1.53,1.5,1.83,1.08,1.74,1.54,1.25,1.72,1.51,1.48,1.94,1.37,2.33,1.82,1.74,1.58,0.88,1.29,1.18
mg,13,12.6,13.1,13.3,2.86,12.3,11.9,11.6,12.8,13.4,11.7,13.8,13.4,11.2,12.5,2.88,2.94,2.98,2.84,2.76,2.77,2.98,3.02,3.04,2.69,3.14,2.67,3.03,3.1,5.02,5.2,5.18,4.77,4.9,4.99,5.02,4.81,4.86,5.48,5.31,4.62,5.18,5.28,5.49,3.6,11,12,12.8,12.3,13.2,11.5,12.4,12.1,12.4,12.7,10.9,12.7,8.82,12.5,13.2
n_tot,0,0,0,0,0,0,0.37,0,0,0,0.85,0,0,0,0.45,0,0,0,0.41,0.27,0.23,0.76,0,0,0,0,0.38,0.49,0,0.25,0.62,0,0,0.65,0.28,0.33,0.99,0.34,0,0,0.41,0,0.3,0,0,0,0,0,0.86,0.5,0.5,0.32,0.34,0.25,0.4,0.3,0,0.63,0,0.41
na,13.3,13.3,13.6,13.9,10.1,12.7,12.3,11.7,13.2,14.4,12.9,15,14.5,12.1,13.7,9.7,19.7,9.7,9.4,19.2,9.2,9.5,9.6,9.7,8.1,10.1,8.5,9.7,10,17.3,18.3,17.3,17.7,17.3,16.7,17.2,16.6,17.3,17.9,17.7,15.8,17.3,17.6,17.7,11.3,11.9,13,13,12.7,13.1,11.5,12.2,11.7,12.9,12.9,11.5,13,9,12.7,13.3
