feature_id,group1_1,group1_2,group1_3,group1_4,group2_1,group2_2,group2_3,group2_4,group3_1,group3_2,group3_3,group3_4,group4_1,group4_2,group4_3,group4_4
feature_100,2280,1306,2302,1164,1860,1282,1470,1516,0,1718,834,1178,2392,2262,3312,2524
feature_10000,0,0,0,0,1906,1586,1720,1216,0,132,0,0,3964,2620,2900,2304
feature_10001,2116,968,1358,490,8960,7260,9614,5252,52,1154,268,568,15098,17338,10064,11562
feature_10002,378,0,268,160,9068,8370,7574,6148,0,148,0,326,9802,13628,5990,7750
feature_10004,354,0,0,0,7152,4140,4628,2884,0,0,0,0,11002,6868,7912,6890
feature_10005,578,388,376,318,5518,4848,5174,3726,0,454,0,314,5156,4738,4122,4086
feature_10006,2390,1144,2142,856,1816,2240,1888,1656,920,890,654,674,3020,2498,2626,2004
feature_10007,340,0,286,0,1512,1564,940,1074,0,376,0,174,8000,9886,6362,6286
feature_10008,2556,890,1872,638,924,1178,790,1218,246,304,0,0,2676,3042,1606,2106
feature_10009,124,0,0,0,150,348,156,302,0,184,0,0,5808,4090,4012,3532
feature_10010,0,0,0,0,1860,1746,1002,1786,0,0,0,0,8112,6060,5576,4258
feature_10011,0,0,92,0,2626,2802,2470,2108,0,0,0,0,1538,1614,1546,1948
feature_10012,0,122,0,0,1166,1460,1022,1102,0,2706,0,1900,13456,9850,11158,6764
feature_10015,0,0,0,0,3450,3598,2644,3274,0,54,0,226,3140,5710,3084,5082
feature_10016,0,0,0,0,0,132,304,0,0,0,0,0,7350,1294,6400,1570
feature_10017,404,280,344,92,1280,1404,1724,1216,232,1590,0,880,4228,3038,2936,2174
feature_10018,0,750,0,462,86,0,0,0,132,734,120,746,0,0,0,0
feature_10020,416,388,358,40,620,834,530,696,3046,842,1952,1066,320,146,0,0
feature_10022,0,152,0,0,1242,1026,1422,1054,302,0,0,0,3210,2274,2738,1136
feature_10026,0,288,306,214,2862,2558,2202,1908,0,210,0,0,5146,7502,4442,4604
feature_10031,872,522,518,222,228,110,178,0,290,126,0,76,228,0,0,208
feature_10032,0,0,0,0,3100,3748,3458,2398,0,0,0,0,0,0,160,0
feature_10033,0,0,0,0,8758,7230,9214,6408,0,0,0,0,162,0,112,144
feature_10034,0,0,0,0,3226,4258,3320,3754,0,0,0,0,1936,1826,816,1454
feature_10038,0,0,0,0,2210,2952,2192,2402,0,0,0,0,2104,1850,2024,1122
feature_10039,42148,22218,25364,16946,32614,15596,21380,13606,3474,17374,2922,21100,672,406,436,440
feature_1004,122,0,196,216,2976,3052,3386,2322,0,0,0,116,1454,806,1156,574
feature_10041,0,0,0,58,5722,6570,5052,4854,248,260,98,0,3064,2070,2942,2934
