feature_id,blank_1,blank_2,blank_3,blank_4,MM_1,MM_2,MM_3,MM_4,LA1330_1,LA1330_2,LA1330_3,LA1330_4,PI127826_1,PI127826_2,PI127826_3,PI127826_4,LYC4_1,LYC4_2,LYC4_3,LYC4_4,LA0716_1,LA0716_2,LA0716_3,LA0716_4,LA1028_1,LA1028_2,LA1028_3,LA1028_4,LA1777_1,LA1777_2,LA1777_3,LA1777_4,LA1840_1,LA1840_2,LA1840_3,LA1840_4
rt-0.04_mz-241.88396,280,694,502,604,554,678,674,936,824,940,794,828,1044,1048,756,778,898,906,1276,792,594,932,784,1058,648,836,912,882,700,666,1080,790,724,788,860,636
rt-0.05_mz-143.95911,1036,1566,1326,1490,1364,1340,1692,1948,1928,1956,1730,1568,1460,1536,1548,1782,1712,1844,2526,1800,1960,1840,1678,1696,1582,1966,1906,1670,1528,1592,1758,1436,1720,1420,2000,1368
rt-0.06_mz-124.96631,1308,992,1060,1010,742,990,0,888,786,668,762,974,1226,676,0,798,924,784,914,744,658,826,790,854,942,818,1068,748,978,882,828,656,812,694,794,702
rt-0.08_mz-553.45905,11340,12260,10962,11864,10972,11190,12172,11820,12026,11604,11122,11260,12492,10036,11382,11312,9648,12852,11552,11548,11938,10798,12368,10790,9790,11578,10384,12764,7570,12236,10902,10728,12334,11060,12548,11310
rt-0.08_mz-413.26631,984,1162,1292,1104,1090,1106,1290,1170,1282,924,1172,1062,1362,932,1114,840,788,1062,1026,996,886,1028,1148,1086,1330,932,1090,1280,762,1106,1148,1388,1212,798,1032,944
rt-0.08_mz-343.22434,3078,2660,2786,3096,3084,3190,3072,2940,3620,3200,3154,3146,3080,2614,2806,2908,2830,2972,3428,2964,3178,2878,3000,2278,3026,2960,2824,2720,2184,3272,2940,3106,2722,2864,3510,2936
rt-0.08_mz-287.16171,1506,1510,1546,1420,1582,1786,1512,1288,1606,1824,1404,1356,1404,1520,1536,1420,1348,1926,1502,1478,1678,1506,1566,1280,1698,1590,1358,1478,916,1754,1790,1374,1522,1650,1634,1508
rt-0.08_mz-629.84892,1306,2088,0,1750,1514,1546,0,0,1292,1818,1378,0,1424,0,1618,1580,1492,1838,1252,1532,1458,1360,1310,1246,1646,1540,1336,1270,0,1274,1804,2014,1640,1926,1310,1334
rt-0.08_mz-498.39989,1042,1274,1138,1016,964,1166,1076,1052,1348,984,1114,1042,990,882,1150,870,1378,936,1318,1002,1184,1102,994,1006,1092,1402,806,1102,690,1184,1064,1018,1102,1032,1222,1290
rt-0.08_mz-497.39637,2670,2414,2646,2656,2462,2836,2744,2854,3188,2872,2516,2946,2940,2776,2652,2718,2762,2562,2660,2620,2472,3074,2704,2472,2674,3150,2816,3056,2194,3060,2762,2562,2808,2830,2860,2586
rt-0.08_mz-318.98083,946,1068,1190,1058,834,858,852,968,784,1006,1102,936,864,868,970,876,824,1088,884,974,872,866,848,878,1002,916,902,938,844,1028,810,918,838,994,1002,1182
rt-0.1_mz-301.14111,832,1102,1104,1114,936,916,1102,876,856,818,1084,1232,1084,1040,826,1004,752,778,928,956,806,786,1010,936,758,1052,910,764,750,820,826,916,758,842,1040,712
rt-0.1_mz-295.94254,1762,1686,1678,1390,1418,1494,1496,1442,1548,1318,1396,1470,1632,1334,1420,1572,1394,1444,1512,1286,1314,1714,1668,1818,1372,1778,1444,1524,1356,1646,0,1346,1686,1292,1414,1534
rt-0.1_mz-498.90115,49226,49616,48370,48520,49624,49240,49740,48602,52048,50196,50208,49876,49022,52166,48394,47784,47166,48726,51928,49988,48398,49420,48484,47998,50406,50706,49568,51180,53074,50896,51506,48988,48974,49216,49990,50960
