stream,area,day,stage,number
bunderbosbeek,limburg,1,eggs,0
bunderbosbeek,limburg,11,eggs,361
bunderbosbeek,limburg,21,eggs,892
bunderbosbeek,limburg,31,eggs,1344
bunderbosbeek,limburg,41,eggs,1620
bunderbosbeek,limburg,51,eggs,1621
bunderbosbeek,limburg,61,eggs,1621
bunderbosbeek,limburg,71,eggs,1621
bunderbosbeek,limburg,81,eggs,1601
bunderbosbeek,limburg,91,eggs,1568
bunderbosbeek,limburg,101,eggs,1540
bunderbosbeek,limburg,111,eggs,1519
bunderbosbeek,limburg,121,eggs,1519
bunderbosbeek,limburg,131,eggs,1179
bunderbosbeek,limburg,141,eggs,682
bunderbosbeek,limburg,151,eggs,257
bunderbosbeek,limburg,161,eggs,0
bunderbosbeek,limburg,171,eggs,0
bunderbosbeek,limburg,181,eggs,0
bunderbosbeek,limburg,191,eggs,0
bunderbosbeek,limburg,201,eggs,0
bunderbosbeek,limburg,211,eggs,0
bunderbosbeek,limburg,221,eggs,0
bunderbosbeek,limburg,231,eggs,0
bunderbosbeek,limburg,241,eggs,0
bunderbosbeek,limburg,251,eggs,0
bunderbosbeek,limburg,1,first_instar,0
bunderbosbeek,limburg,11,first_instar,0
bunderbosbeek,limburg,21,first_instar,0
bunderbosbeek,limburg,31,first_instar,0
bunderbosbeek,limburg,41,first_instar,110
bunderbosbeek,limburg,51,first_instar,440
bunderbosbeek,limburg,61,first_instar,723
bunderbosbeek,limburg,71,first_instar,777
bunderbosbeek,limburg,81,first_instar,538
bunderbosbeek,limburg,91,first_instar,669
bunderbosbeek,limburg,101,first_instar,777
bunderbosbeek,limburg,111,first_instar,533
bunderbosbeek,limburg,121,first_instar,644
bunderbosbeek,limburg,131,first_instar,156
bunderbosbeek,limburg,141,first_instar,329
bunderbosbeek,limburg,151,first_instar,592
bunderbosbeek,limburg,161,first_instar,267
bunderbosbeek,limburg,171,first_instar,53
bunderbosbeek,limburg,181,first_instar,17
bunderbosbeek,limburg,191,first_instar,0
bunderbosbeek,limburg,201,first_instar,0
bunderbosbeek,limburg,211,first_instar,0
bunderbosbeek,limburg,221,first_instar,0
bunderbosbeek,limburg,231,first_instar,0
bunderbosbeek,limburg,241,first_instar,0
bunderbosbeek,limburg,251,first_instar,0
bunderbosbeek,limburg,1,second_instar,0
bunderbosbeek,limburg,11,second_instar,0
bunderbosbeek,limburg,21,second_instar,0
bunderbosbeek,limburg,31,second_instar,0
bunderbosbeek,limburg,41,second_instar,0
bunderbosbeek,limburg,51,second_instar,0
bunderbosbeek,limburg,61,second_instar,2
bunderbosbeek,limburg,71,second_instar,194
bunderbosbeek,limburg,81,second_instar,284
bunderbosbeek,limburg,91,second_instar,388
bunderbosbeek,limburg,101,second_instar,436
bunderbosbeek,limburg,111,second_instar,362
bunderbosbeek,limburg,121,second_instar,390
bunderbosbeek,limburg,131,second_instar,148
bunderbosbeek,limburg,141,second_instar,88
bunderbosbeek,limburg,151,second_instar,66
bunderbosbeek,limburg,161,second_instar,63
bunderbosbeek,limburg,171,second_instar,61
bunderbosbeek,limburg,181,second_instar,78
bunderbosbeek,limburg,191,second_instar,73
bunderbosbeek,limburg,201,second_instar,42
bunderbosbeek,limburg,211,second_instar,19
bunderbosbeek,limburg,221,second_instar,0
bunderbosbeek,limburg,231,second_instar,0
bunderbosbeek,limburg,241,second_instar,0
bunderbosbeek,limburg,251,second_instar,0
bunderbosbeek,limburg,1,third_instar,0
bunderbosbeek,limburg,11,third_instar,0
bunderbosbeek,limburg,21,third_instar,0
bunderbosbeek,limburg,31,third_instar,0
bunderbosbeek,limburg,41,third_instar,0
bunderbosbeek,limburg,51,third_instar,0
bunderbosbeek,limburg,61,third_instar,0
bunderbosbeek,limburg,71,third_instar,0
bunderbosbeek,limburg,81,third_instar,0
bunderbosbeek,limburg,91,third_instar,0
bunderbosbeek,limburg,101,third_instar,47
bunderbosbeek,limburg,111,third_instar,122
bunderbosbeek,limburg,121,third_instar,173
bunderbosbeek,limburg,131,third_instar,138
bunderbosbeek,limburg,141,third_instar,130
bunderbosbeek,limburg,151,third_instar,111
bunderbosbeek,limburg,161,third_instar,75
bunderbosbeek,limburg,171,third_instar,42
bunderbosbeek,limburg,181,third_instar,31
bunderbosbeek,limburg,191,third_instar,29
bunderbosbeek,limburg,201,third_instar,39
